,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,reached_ontime
8511,B,Ship,5,3,185,2,low,M,2,5420,0
8512,C,Ship,3,5,184,3,low,F,2,4357,1
8513,F,Ship,6,3,98,6,low,M,9,4787,1
8514,D,Ship,3,2,177,2,high,F,7,4764,1
8515,F,Ship,3,5,193,2,low,F,10,5776,0
8516,A,Ship,3,3,165,2,medium,M,1,4768,0
8517,B,Ship,4,4,183,4,low,F,6,4562,1
8518,C,Ship,4,4,161,3,low,M,2,5257,0
8519,F,Ship,2,1,238,2,low,F,4,4992,0
8520,D,Ship,3,5,191,4,low,M,4,4008,1
8521,F,Ship,3,2,165,3,low,M,6,5642,0
8522,A,Ship,3,5,233,2,medium,M,1,4913,0
8523,B,Ship,4,1,234,2,medium,M,4,5066,1
8524,C,Ship,4,1,252,3,medium,M,4,5540,0
8525,F,Ship,3,1,155,3,low,F,9,5539,0
8526,D,Ship,3,5,269,8,medium,M,8,4462,0
8527,F,Ship,4,5,224,2,low,M,8,5871,0
8528,A,Ship,5,3,230,3,medium,F,7,4844,0
8529,B,Ship,4,5,253,3,low,F,9,4205,0
8530,C,Ship,5,2,181,3,low,M,4,4323,0
8531,F,Ship,4,2,233,4,high,F,1,4316,0
8532,D,Ship,4,1,243,5,medium,F,1,4624,1
8533,F,Ship,5,4,271,2,medium,F,6,4801,1
8534,A,Ship,4,3,134,4,low,F,5,4507,1
8535,B,Ship,3,5,154,10,high,F,10,5282,1
8536,C,Ship,6,1,222,8,low,M,2,4914,0
8537,F,Ship,3,4,251,10,medium,F,2,4336,1
8538,D,Ship,4,3,239,3,low,M,10,4020,0
8539,F,Ship,5,4,211,3,low,M,9,4908,0
8540,A,Ship,3,4,195,10,low,M,5,5950,1
8541,B,Ship,4,4,224,10,medium,F,9,4149,0
8542,C,Ship,4,5,144,8,medium,F,2,4956,1
8543,F,Ship,4,2,167,4,high,M,5,5250,0
8544,D,Ship,3,1,188,4,medium,F,8,5884,1
8545,F,Ship,2,4,245,2,medium,F,3,5850,1
8546,A,Ship,2,5,212,2,high,F,3,4389,0
8547,B,Ship,3,3,240,3,low,F,5,4888,1
8548,C,Ship,5,2,226,5,medium,M,5,1323,0
8549,F,Ship,6,5,278,4,low,M,2,1167,1
8550,D,Ship,4,2,232,5,medium,F,4,1783,0
8551,F,Ship,6,3,287,4,low,M,3,1824,0
8552,A,Ship,4,4,228,5,low,F,1,1788,1
8553,B,Ship,5,4,232,5,low,M,10,1512,0
8554,C,Ship,6,5,308,4,low,M,8,1164,1
8555,F,Ship,7,4,287,4,low,M,9,1667,1
8556,D,Ship,6,4,246,4,medium,M,3,1852,0
8557,F,Ship,4,5,262,6,low,M,10,1156,0
8558,A,Ship,6,1,275,4,low,M,7,1767,0
8559,B,Ship,5,1,236,5,medium,F,3,1699,0
8560,C,Ship,5,4,221,6,medium,M,6,1488,1
8561,F,Ship,5,1,271,5,low,F,5,1869,1
8562,D,Ship,4,4,229,5,low,M,7,1049,1
8563,F,Ship,3,2,177,2,high,M,9,4648,0
8564,A,Ship,3,2,193,2,low,M,3,4799,1
8565,B,Ship,3,4,165,2,medium,M,1,5745,0
8566,C,Ship,4,5,183,4,low,M,3,5881,0
8567,F,Ship,4,2,161,3,low,F,8,4382,0
8568,D,Ship,2,5,238,2,low,F,6,5325,1
8569,F,Ship,3,5,191,4,low,M,2,5177,1
8570,A,Ship,3,1,165,3,low,M,10,5823,0
8571,B,Ship,3,5,233,2,medium,F,2,4193,0
8572,C,Ship,4,4,234,2,medium,F,8,5744,0
8573,F,Ship,4,3,252,3,medium,F,10,5802,1
8574,D,Ship,3,2,155,3,low,M,1,5731,1
8575,F,Ship,3,1,269,8,medium,F,4,4290,0
8576,A,Ship,4,1,224,2,low,F,6,4454,1
8577,B,Ship,5,4,230,3,medium,M,6,4257,0
8578,C,Ship,4,5,253,3,low,F,1,5402,0
8579,F,Ship,5,1,181,3,low,F,3,5118,0
8580,D,Ship,4,2,233,4,high,F,6,5256,0
8581,F,Ship,4,4,243,5,medium,M,10,4356,0
8582,A,Ship,5,5,271,2,medium,M,6,4788,1
8583,B,Ship,4,3,134,4,low,M,8,4879,1
8584,C,Ship,3,2,154,10,high,F,8,5811,1
8585,F,Ship,6,4,222,8,low,F,1,5808,1
8586,D,Ship,3,5,251,10,medium,M,9,5962,0
8587,F,Ship,4,5,239,3,low,M,6,5154,1
8588,A,Ship,5,1,211,3,low,M,7,5594,1
8589,B,Ship,3,2,195,10,low,F,9,4256,0
8590,C,Ship,4,5,224,10,medium,F,7,4521,1
8591,F,Ship,4,4,144,8,medium,M,6,4390,1
8592,D,Ship,4,1,167,4,high,M,7,5264,0
8593,F,Ship,3,3,188,4,medium,M,1,4296,1
8594,A,Ship,2,4,245,2,medium,F,10,5389,0
8595,B,Ship,2,1,212,2,high,F,8,4128,0
8596,C,Ship,3,5,240,3,low,F,6,5642,0
8597,F,Ship,5,1,226,5,medium,M,3,1409,0
8598,D,Ship,6,3,278,4,low,F,9,1368,0
8599,F,Ship,4,1,232,5,medium,M,8,1943,0
8600,A,Ship,6,5,287,4,low,M,8,1465,0
8601,B,Ship,4,5,228,5,low,M,5,1373,1
8602,C,Ship,5,5,232,5,low,M,1,1127,0
8603,F,Ship,6,5,308,4,low,M,4,1202,0
8604,D,Road,7,1,287,4,low,M,1,1660,0
8605,F,Road,6,5,246,4,medium,M,2,1581,0
8606,A,Road,4,1,262,6,low,F,3,1830,1
8607,B,Road,6,5,275,4,low,F,6,1872,0
8608,C,Road,5,3,236,5,medium,M,10,1630,0
8609,F,Road,5,2,221,6,medium,M,4,1952,1
8610,D,Road,5,4,228,5,low,F,9,1549,1
8611,F,Road,4,5,234,5,low,F,1,1991,1
8612,A,Road,5,1,242,5,low,M,9,1767,0
8613,B,Road,7,1,307,4,low,F,8,1339,0
8614,C,Road,6,3,260,4,low,M,4,1358,0
8615,F,Road,4,5,239,5,low,M,7,1380,0
8616,D,Road,6,4,305,4,low,F,1,1384,0
8617,F,Road,5,2,254,6,low,F,5,1951,0
8618,A,Road,2,1,258,5,low,F,9,1548,1
8619,B,Road,5,3,267,6,low,M,10,1027,0
8620,C,Road,4,2,246,5,low,F,10,1720,0
8621,F,Road,4,2,246,5,low,M,9,1206,1
8622,D,Road,4,2,261,5,medium,M,5,1073,1
8623,F,Road,5,1,239,5,low,F,6,1815,0
8624,A,Road,5,3,245,5,low,M,8,1471,0
8625,B,Road,5,3,237,5,medium,F,2,1869,1
8626,C,Flight,7,3,307,4,low,M,1,1793,1
8627,F,Flight,5,2,252,5,low,F,10,1568,0
8628,D,Flight,5,5,225,5,low,M,7,1168,0
8629,F,Flight,6,4,258,4,low,F,7,1726,1
8630,A,Flight,7,1,254,4,medium,M,6,1279,1
8631,B,Flight,5,3,232,5,low,F,1,1835,1
8632,C,Flight,7,1,255,4,medium,F,3,1450,0
8633,F,Flight,5,1,235,5,low,F,10,1920,0
8634,D,Flight,7,5,269,4,medium,M,2,1592,0
8635,F,Flight,6,2,243,4,low,M,4,1768,0
8636,A,Flight,7,2,253,4,low,M,1,1294,1
8637,B,Flight,5,1,266,5,medium,F,2,1798,0
8638,C,Flight,5,3,154,4,low,F,3,1066,1
8639,F,Flight,4,3,245,5,low,M,4,1470,0
8640,D,Flight,4,5,275,5,medium,F,8,1093,1
8641,F,Flight,6,1,261,4,medium,M,10,1290,1
8642,A,Flight,4,5,273,5,low,M,2,1441,0
8643,B,Flight,6,4,303,5,low,M,5,1195,1
8644,C,Flight,5,1,255,5,low,M,3,1574,1
8645,F,Flight,4,4,225,5,low,F,1,1476,1
8646,D,Flight,4,5,233,6,low,M,8,1176,0
8647,F,Flight,6,1,285,4,low,F,3,1448,1
8648,A,Ship,5,5,272,4,medium,M,10,1383,1
8649,B,Ship,7,5,273,4,medium,M,9,1329,1
8650,C,Ship,4,3,253,6,low,F,4,1788,1
8651,F,Ship,6,2,279,4,medium,F,4,1148,0
8652,D,Ship,4,2,235,5,low,M,8,1021,0
8653,F,Ship,4,1,255,5,low,F,9,1793,1
8654,A,Ship,7,5,301,4,low,F,7,1727,0
8655,B,Ship,7,1,245,4,medium,M,4,1653,1
8656,C,Ship,7,5,265,4,low,F,1,1601,0
8657,F,Ship,4,4,252,5,medium,M,2,1995,1
8658,D,Ship,6,1,281,4,medium,M,2,1592,0
8659,F,Ship,6,2,269,4,medium,F,10,1166,0
8660,A,Ship,4,2,271,5,medium,M,4,1633,1
8661,B,Ship,5,2,239,5,medium,F,6,1365,1
8662,C,Ship,7,5,293,4,low,F,2,1080,1
8663,F,Ship,4,1,165,5,medium,F,1,4170,1
8664,D,Ship,3,3,202,4,low,F,9,4917,0
8665,F,Ship,4,4,201,3,low,F,2,5385,0
8666,A,Ship,5,5,161,3,low,F,5,4702,0
8667,B,Ship,5,5,193,3,low,F,3,5037,0
8668,C,Ship,3,1,152,3,low,M,1,4949,1
8669,F,Ship,4,4,189,2,medium,M,3,5837,1
8670,D,Ship,3,1,159,3,low,M,10,4784,1
8671,F,Ship,5,1,259,3,low,M,1,5725,0
8672,A,Ship,3,2,224,3,medium,M,8,5869,0
8673,B,Ship,4,4,172,2,medium,F,3,5538,1
8674,C,Ship,4,5,148,3,medium,F,5,5216,0
8675,F,Ship,4,3,274,3,medium,F,8,4276,0
8676,D,Ship,3,1,207,4,low,F,9,5889,0
8677,F,Ship,4,5,159,5,medium,F,2,5654,1
8678,A,Ship,3,1,198,3,low,M,3,4965,1
8679,B,Ship,4,5,196,2,medium,F,3,5505,0
8680,C,Ship,5,1,137,2,low,M,9,4580,1
8681,F,Ship,3,3,192,3,medium,M,4,5479,0
8682,D,Ship,3,4,214,3,low,F,1,5722,0
8683,F,Ship,6,3,267,4,medium,M,2,5917,1
8684,A,Ship,3,5,205,3,medium,F,9,4565,1
8685,B,Ship,2,4,102,4,medium,F,6,5421,0
8686,C,Ship,3,2,150,2,medium,M,5,5264,0
8687,F,Ship,5,1,176,3,low,M,3,5919,0
8688,D,Ship,3,3,169,3,high,M,1,4647,0
8689,F,Ship,4,4,151,3,medium,F,5,4732,0
8690,A,Ship,3,5,243,3,low,M,1,4623,0
8691,B,Ship,4,2,150,2,low,F,2,5301,0
8692,C,Ship,4,3,229,2,low,M,6,4226,1
8693,F,Ship,6,2,164,4,low,M,6,5264,0
8694,D,Ship,3,5,220,3,low,F,9,5672,1
8695,F,Ship,3,1,187,3,medium,M,7,4607,0
8696,A,Ship,5,4,255,3,low,F,1,5775,1
8697,B,Ship,5,4,252,3,medium,M,2,4162,0
8698,C,Ship,5,5,242,4,medium,F,2,5359,0
8699,F,Ship,3,1,162,3,low,M,7,5073,0
8700,D,Ship,3,2,219,3,medium,M,1,4918,1
8701,F,Ship,4,2,248,3,low,M,2,5028,1
8702,A,Ship,4,3,228,3,medium,F,1,5408,1
8703,B,Ship,4,4,149,2,medium,F,2,5881,0
8704,C,Ship,3,5,206,3,medium,F,9,5751,0
8705,F,Ship,3,1,204,3,medium,M,4,4619,1
8706,D,Ship,5,3,222,4,medium,M,2,4060,0
8707,F,Ship,3,5,248,2,medium,M,1,4108,1
8708,A,Ship,3,3,225,3,medium,F,7,4961,1
8709,B,Ship,3,2,244,2,high,F,9,4142,0
8710,C,Ship,2,3,184,4,medium,M,3,4719,0
8711,F,Ship,4,5,223,3,low,M,9,5649,1
8712,D,Ship,4,2,133,6,medium,F,9,4879,0
8713,F,Ship,4,3,164,4,medium,M,1,4257,0
8714,A,Ship,3,5,222,4,medium,F,9,4247,0
8715,B,Ship,2,1,198,2,low,M,8,4323,0
8716,C,Ship,5,5,198,3,low,F,5,4754,1
8717,F,Ship,5,1,193,6,medium,F,4,5964,0
8718,D,Ship,5,1,149,3,low,F,9,5173,1
8719,F,Ship,4,4,265,4,medium,F,6,4607,1
8720,A,Ship,3,3,187,2,low,F,7,4859,0
8721,B,Ship,4,5,198,2,medium,F,9,4108,0
8722,C,Ship,3,4,177,3,medium,F,1,4965,0
8723,F,Ship,5,3,255,4,low,F,5,5870,0
8724,D,Ship,3,2,141,2,medium,F,7,5231,0
8725,F,Ship,3,2,180,2,medium,F,4,4758,1
8726,A,Ship,3,4,254,3,high,M,4,5830,1
8727,B,Ship,2,3,211,2,medium,M,2,4611,0
8728,C,Ship,3,4,238,2,medium,M,7,5974,0
8729,F,Ship,4,4,239,3,medium,M,6,5632,0
8730,D,Ship,4,3,175,2,medium,M,3,4961,1
8731,F,Ship,5,2,238,2,low,M,5,5703,0
8732,A,Ship,6,4,268,4,medium,M,5,4126,1
8733,B,Ship,4,5,142,2,medium,M,10,5428,1
8734,C,Ship,3,2,186,2,medium,M,3,5712,0
8735,F,Ship,4,3,154,3,medium,F,4,4867,1
8736,D,Ship,4,4,229,2,low,F,9,5672,1
8737,F,Ship,3,4,264,3,low,M,8,4575,1
8738,A,Ship,4,3,196,3,medium,F,8,5541,0
8739,B,Ship,5,2,169,2,medium,M,4,6000,1
8740,C,Ship,3,5,168,3,low,M,8,5877,0
8741,F,Road,3,4,226,2,high,F,8,5793,0
8742,D,Road,5,4,189,2,low,F,4,5575,1
8743,F,Road,4,4,183,2,low,F,7,4572,1
8744,A,Road,3,1,228,2,low,F,7,4977,0
8745,B,Road,3,2,260,2,low,M,7,5553,1
8746,C,Road,4,2,112,2,medium,F,8,4599,0
8747,F,Road,5,5,221,3,medium,M,9,5295,0
8748,D,Road,4,5,258,3,low,M,8,4046,1
8749,F,Road,4,2,133,3,medium,F,5,5950,0
8750,A,Road,3,1,139,3,low,F,4,4666,0
8751,B,Road,5,1,251,4,medium,M,10,5931,0
8752,C,Road,5,1,258,3,high,M,3,4908,0
8753,F,Road,4,2,229,2,medium,F,7,4855,1
8754,D,Road,6,4,220,4,low,M,5,5465,1
8755,F,Road,5,3,160,3,low,F,10,4416,1
8756,A,Road,3,1,154,3,medium,M,4,4631,0
8757,B,Road,5,3,197,5,low,F,1,5581,0
8758,C,Road,4,4,141,3,low,M,10,4289,0
8759,F,Road,3,2,199,2,medium,F,7,5531,1
8760,D,Road,4,3,187,6,low,F,9,5872,0
8761,F,Road,3,4,136,3,medium,M,6,4631,0
8762,A,Road,3,4,232,5,medium,M,9,5759,0
8763,B,Flight,3,2,257,2,low,F,9,5085,1
8764,C,Flight,4,1,156,2,medium,M,4,5225,0
8765,F,Flight,3,5,179,3,low,M,2,4913,0
8766,D,Flight,5,5,182,3,low,F,9,5388,0
8767,F,Flight,4,4,209,6,low,F,7,4852,0
8768,A,Flight,5,5,137,3,medium,F,5,4814,0
8769,B,Flight,5,2,174,5,medium,M,8,4656,0
8770,C,Flight,3,4,251,3,medium,M,5,5608,1
8771,F,Flight,5,4,220,2,medium,M,8,5073,0
8772,D,Flight,3,3,196,4,low,F,9,5631,1
8773,F,Flight,3,1,162,3,medium,F,10,5726,0
8774,A,Flight,4,2,242,2,medium,F,8,5243,1
8775,B,Flight,4,3,226,3,medium,M,10,5305,0
8776,C,Flight,3,1,101,3,medium,M,7,4275,1
8777,F,Flight,5,2,226,3,medium,F,1,5451,0
8778,D,Flight,5,3,280,6,high,M,5,4585,0
8779,F,Flight,4,2,257,2,high,M,3,4108,1
8780,A,Flight,5,5,185,5,low,M,5,4078,0
8781,B,Flight,3,2,199,3,low,F,8,5431,0
8782,C,Flight,3,2,273,3,high,M,8,5754,1
8783,F,Flight,4,5,229,4,medium,F,6,4157,0
8784,D,Flight,3,3,199,3,medium,F,1,4006,1
8785,F,Ship,3,1,151,3,low,F,7,4072,0
8786,A,Ship,5,1,213,2,high,F,10,5607,1
8787,B,Ship,3,4,151,3,medium,F,3,4938,0
8788,C,Ship,4,2,212,3,low,M,5,5413,0
8789,F,Ship,4,3,175,3,low,F,9,4840,1
8790,D,Ship,3,3,182,4,low,F,2,4746,1
8791,F,Ship,5,2,211,2,medium,F,2,5077,0
8792,A,Ship,3,1,160,3,medium,F,5,5524,0
8793,B,Ship,3,5,268,2,medium,F,10,5895,0
8794,C,Ship,3,5,188,4,medium,M,3,4033,0
8795,F,Ship,3,2,234,3,medium,M,5,4757,1
8796,D,Ship,5,1,151,4,low,M,5,4549,0
8797,F,Ship,3,3,150,2,medium,M,9,4100,0
8798,A,Ship,3,5,268,3,low,F,6,4172,1
8799,B,Ship,2,4,248,3,low,F,7,4142,0
8800,C,Ship,3,3,232,2,medium,F,8,5544,1
8801,F,Ship,5,2,164,3,medium,F,6,4302,0
8802,D,Ship,3,3,211,3,medium,M,3,5379,1
8803,F,Ship,3,5,195,2,medium,F,9,5832,0
8804,A,Ship,4,5,208,2,low,F,4,5831,0
8805,B,Ship,3,1,176,2,medium,F,4,5726,0
8806,C,Ship,5,2,258,3,medium,F,8,4921,0
8807,F,Ship,4,4,224,3,medium,F,1,4231,0
8808,D,Ship,4,4,263,3,medium,M,1,5283,1
8809,F,Ship,3,1,203,10,medium,F,7,5917,1
8810,A,Ship,4,4,266,7,medium,F,10,5901,0
8811,B,Ship,6,1,189,3,medium,F,9,5316,0
8812,C,Ship,3,1,242,8,medium,F,8,5401,0
8813,F,Ship,4,2,265,4,medium,F,3,4120,1
8814,D,Ship,3,2,138,10,low,M,1,5721,1
8815,F,Ship,4,4,268,3,low,F,9,4118,1
8816,A,Ship,4,3,211,7,high,M,9,5652,1
8817,B,Ship,6,3,137,8,low,F,6,5992,1
8818,C,Ship,4,5,234,5,low,F,2,1087,1
8819,F,Ship,5,4,242,5,low,M,1,1571,1
8820,D,Ship,7,2,307,4,low,M,8,1551,0
8821,F,Ship,6,1,260,4,low,F,6,1766,0
8822,A,Ship,4,4,239,5,low,F,6,1239,0
8823,B,Ship,6,2,305,4,low,F,9,1567,0
8824,C,Ship,5,2,254,6,low,M,5,1885,0
8825,F,Ship,2,1,258,5,low,M,10,1221,1
8826,D,Ship,5,3,267,6,low,F,8,1421,1
8827,F,Ship,4,3,246,5,low,M,7,1134,0
8828,A,Ship,4,3,246,5,low,F,1,1673,1
8829,B,Ship,4,4,261,5,medium,F,2,1690,1
8830,C,Ship,5,5,239,5,low,M,6,1887,1
8831,F,Ship,5,5,245,5,low,M,5,1381,1
8832,D,Ship,5,1,237,5,medium,F,8,1150,1
8833,F,Ship,7,3,307,4,low,F,1,1589,1
8834,A,Ship,5,4,252,5,low,M,2,1847,1
8835,B,Ship,5,2,225,5,low,M,5,1015,0
8836,C,Ship,6,4,258,4,low,M,9,1104,0
8837,F,Ship,7,5,254,4,medium,F,6,1491,1
8838,D,Ship,5,1,232,5,low,M,6,1427,0
8839,F,Ship,7,1,255,4,medium,F,8,1088,1
8840,A,Ship,5,3,235,5,low,M,4,1990,0
8841,B,Ship,7,1,269,4,medium,M,4,1118,1
8842,C,Ship,3,1,211,3,medium,M,1,4889,1
8843,F,Ship,3,4,195,2,medium,F,10,4031,0
8844,D,Ship,4,5,208,2,low,M,1,4039,0
8845,F,Ship,3,5,176,2,medium,F,8,5597,1
8846,A,Ship,5,1,258,3,medium,F,8,5694,0
8847,B,Ship,4,3,224,3,medium,F,6,5054,1
8848,C,Ship,4,3,263,3,medium,M,3,4677,0
8849,F,Ship,3,5,203,10,medium,F,1,4996,0
8850,D,Ship,4,4,266,7,medium,M,3,5672,1
8851,F,Ship,6,3,189,3,medium,F,3,5062,0
8852,A,Ship,3,1,242,8,medium,M,4,4943,0
8853,B,Ship,4,2,265,4,medium,F,10,4575,1
8854,C,Ship,3,1,138,10,low,F,4,4496,1
8855,F,Ship,4,3,268,3,low,F,10,5998,0
8856,D,Ship,4,1,211,7,high,M,4,4476,1
8857,F,Ship,6,4,137,8,low,F,9,4374,1
8858,A,Ship,4,5,234,5,low,F,3,1469,1
8859,B,Ship,5,1,242,5,low,F,8,1815,0
8860,C,Ship,7,1,307,4,low,M,4,1371,1
8861,F,Ship,6,3,260,4,low,F,1,1775,0
8862,D,Ship,4,5,239,5,low,M,6,1336,0
8863,F,Ship,6,2,305,4,low,M,2,1196,0
8864,A,Ship,5,1,254,6,low,M,1,1021,0
8865,B,Ship,2,3,258,5,low,F,6,1727,0
8866,C,Ship,5,1,267,6,low,M,3,1803,0
8867,F,Ship,4,5,246,5,low,F,2,1024,1
8868,D,Ship,4,3,246,5,low,M,5,1395,0
8869,F,Ship,4,4,261,5,medium,F,2,1829,0
8870,A,Ship,5,3,239,5,low,M,10,1784,0
8871,B,Ship,5,5,245,5,low,M,10,1289,1
8872,C,Ship,5,3,237,5,medium,F,4,1567,0
8873,F,Ship,7,1,307,4,low,M,2,1983,0
8874,D,Ship,5,1,252,5,low,M,4,1308,0
8875,F,Ship,5,4,225,5,low,F,6,2000,0
8876,A,Ship,6,3,281,4,medium,F,8,1884,0
8877,B,Ship,6,5,269,4,medium,F,7,1249,1
8878,C,Road,4,1,271,5,medium,F,3,1328,0
8879,F,Road,5,2,239,5,medium,F,6,1310,1
8880,D,Road,7,5,308,4,medium,M,1,1477,1
8881,F,Road,6,1,256,4,low,F,7,1372,1
8882,A,Road,4,5,251,5,medium,F,7,1070,1
8883,B,Road,5,3,270,5,medium,M,9,1764,1
8884,C,Road,6,4,289,4,low,F,1,1656,0
8885,F,Road,6,4,253,4,medium,F,6,1961,0
8886,D,Road,7,3,305,4,medium,F,5,1198,0
8887,F,Road,3,4,219,6,low,F,2,1837,0
8888,A,Road,4,1,231,5,medium,F,10,1144,0
8889,B,Road,6,4,298,4,medium,F,8,1437,1
8890,C,Road,6,5,282,4,low,M,4,1035,0
8891,F,Road,5,3,240,5,low,M,4,1389,0
8892,D,Road,5,2,223,5,medium,F,6,1883,0
8893,F,Road,4,1,226,5,low,M,9,1530,0
8894,A,Road,5,5,253,5,low,F,4,1482,0
8895,B,Road,6,4,249,4,low,M,2,1516,0
8896,C,Road,6,4,294,4,medium,M,5,1174,0
8897,F,Road,5,1,225,5,low,M,2,1812,0
8898,D,Road,6,5,253,4,low,M,2,1893,1
8899,F,Road,5,1,236,5,medium,M,10,1961,0
8900,A,Flight,7,2,284,4,low,F,1,1085,1
8901,B,Flight,5,2,244,5,low,M,1,1875,1
8902,C,Flight,6,3,269,4,low,F,4,1948,1
8903,F,Flight,6,5,308,4,low,F,7,1078,0
8904,D,Flight,6,4,270,4,low,F,10,1698,0
8905,F,Flight,5,3,238,5,low,M,1,1871,1
8906,A,Flight,4,5,295,3,low,F,2,1693,0
8907,B,Flight,2,2,310,3,low,M,1,1549,1
8908,C,Flight,6,2,290,4,medium,M,1,1111,0
8909,F,Flight,7,2,288,4,high,M,4,1321,0
8910,D,Flight,6,5,299,4,low,M,2,1192,0
8911,F,Flight,6,5,243,4,low,F,6,1898,1
8912,A,Flight,5,3,229,5,low,F,1,1196,0
8913,B,Flight,6,2,288,4,medium,M,9,1405,1
8914,C,Flight,6,3,276,4,low,M,6,1670,1
8915,F,Flight,7,4,270,4,medium,F,5,1735,0
8916,D,Flight,4,3,246,5,medium,M,10,1646,1
8917,F,Flight,5,5,269,5,low,M,5,1742,0
8918,A,Flight,5,3,241,5,low,F,2,1834,1
8919,B,Flight,4,4,248,5,medium,M,2,1651,0
8920,C,Flight,6,2,271,4,medium,M,3,1636,0
8921,F,Flight,4,5,250,5,medium,M,6,1662,0
8922,D,Ship,5,5,229,5,medium,M,2,1975,1
8923,F,Ship,7,3,296,4,low,M,4,1392,0
8924,A,Ship,6,1,307,4,low,F,3,1977,0
8925,B,Ship,7,1,258,4,low,F,3,1482,0
8926,C,Ship,6,2,255,4,medium,F,3,1355,0
8927,F,Ship,5,3,163,3,medium,M,1,1836,0
8928,D,Ship,5,5,265,6,low,M,4,1937,1
8929,F,Ship,4,3,269,5,low,M,2,1273,1
8930,A,Ship,6,3,273,5,low,M,8,1746,1
8931,B,Ship,5,5,257,5,low,M,5,1657,0
8932,C,Ship,6,3,258,4,medium,M,9,1924,0
8933,F,Ship,5,3,140,5,medium,F,6,1823,0
8934,D,Ship,5,2,268,5,medium,F,2,1061,1
8935,F,Ship,6,4,279,4,low,F,5,1241,0
8936,A,Ship,4,3,225,5,medium,M,3,1224,0
8937,B,Ship,6,4,296,4,medium,M,5,1782,1
8938,C,Ship,5,3,162,4,low,F,6,1968,0
8939,F,Ship,4,3,208,3,medium,F,7,4525,1
8940,D,Ship,4,2,185,2,medium,F,3,5356,0
8941,F,Ship,4,4,270,2,medium,F,6,5221,0
8942,A,Ship,3,1,266,3,low,F,8,4574,0
8943,B,Ship,4,5,148,2,low,M,2,4883,1
8944,C,Ship,4,5,201,3,low,F,1,5898,1
8945,F,Ship,4,1,171,2,medium,F,1,5717,0
8946,D,Ship,4,3,236,3,low,M,1,4752,0
8947,F,Ship,4,4,220,3,low,F,4,5622,0
8948,A,Ship,4,2,161,4,low,F,9,4713,1
8949,B,Ship,5,1,241,3,low,M,7,5342,0
8950,C,Ship,5,4,208,2,low,M,9,4569,0
8951,F,Ship,6,5,150,3,medium,M,3,5747,0
8952,D,Ship,4,3,233,2,medium,F,3,4748,0
8953,F,Ship,2,2,98,5,medium,M,10,4368,0
8954,A,Ship,3,2,271,5,low,M,5,4880,0
8955,B,Ship,2,2,247,3,low,F,4,4686,1
8956,C,Ship,3,5,218,4,low,M,4,5330,0
8957,F,Ship,5,3,182,4,medium,M,5,4770,1
8958,D,Ship,4,2,261,2,medium,F,4,5926,1
8959,F,Ship,5,1,167,3,low,M,9,4660,0
8960,A,Ship,3,3,206,3,low,F,3,5746,1
8961,B,Ship,6,4,257,6,low,F,7,4265,0
8962,C,Ship,4,3,185,5,low,F,9,5648,0
8963,F,Ship,5,2,183,5,high,F,8,4820,0
8964,D,Ship,5,1,185,3,medium,F,7,4855,1
8965,F,Ship,3,5,178,3,low,F,7,4135,0
8966,A,Ship,4,4,258,3,high,M,10,4958,1
8967,B,Ship,4,1,238,4,medium,F,10,4860,0
8968,C,Ship,3,2,209,2,low,M,9,5203,0
8969,F,Ship,2,3,260,2,low,F,1,4547,0
8970,D,Ship,4,5,247,2,medium,F,9,4656,0
8971,F,Ship,3,3,261,3,low,M,2,5629,1
8972,A,Ship,4,5,243,4,low,F,1,5328,0
8973,B,Ship,5,1,160,4,medium,M,5,5841,0
8974,C,Ship,5,2,203,2,medium,F,2,4712,1
8975,F,Ship,3,5,220,4,low,F,5,5677,0
8976,D,Ship,3,2,233,3,medium,M,7,5838,0
8977,F,Ship,4,4,101,5,low,F,8,4192,0
8978,A,Ship,5,4,191,4,low,M,8,4566,1
8979,B,Ship,3,3,265,3,low,F,10,4093,1
8980,C,Ship,4,3,249,3,low,M,4,4811,0
8981,F,Ship,4,4,184,3,low,F,10,5705,1
8982,D,Ship,5,5,182,3,medium,F,10,5060,0
8983,F,Ship,5,5,198,2,high,M,3,5249,0
8984,A,Ship,3,1,110,4,medium,F,6,5474,1
8985,B,Ship,4,3,268,2,low,F,4,5280,1
8986,C,Ship,4,3,146,3,medium,F,10,5372,0
8987,F,Ship,5,2,235,2,low,F,10,4938,0
8988,D,Ship,5,2,270,3,low,M,3,5266,1
8989,F,Ship,4,4,174,2,low,F,1,4541,1
8990,A,Ship,4,2,239,4,low,F,10,5528,1
8991,B,Ship,3,4,236,4,high,F,9,4744,0
8992,C,Ship,4,5,162,2,medium,F,9,5345,1
8993,F,Ship,3,4,260,3,low,F,8,5215,0
8994,D,Ship,3,1,217,3,low,F,1,4177,1
8995,F,Ship,5,3,232,3,medium,M,3,4526,0
8996,A,Ship,4,5,260,3,medium,F,6,4221,0
8997,B,Ship,4,2,184,3,medium,F,5,5931,1
8998,C,Ship,5,4,145,4,low,M,4,4790,0
8999,F,Ship,5,1,189,2,medium,M,10,5248,0
9000,D,Ship,5,3,150,2,high,F,9,4446,0
9001,F,Ship,3,3,200,3,low,M,3,5739,0
9002,A,Ship,5,1,133,2,medium,M,1,4643,0
